localizacao;descricao;dataDeAquisicao;departamento;observacoes
SETOR N 11;POSTO MDICO DA NOVA BRASLIA MATRCULA 26723 DENTRO DA REA MAIOR;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;c/planta c/certido dentro da rea maior do aeroporto velho
SETOR N 11;POSTO MDICO VILA PROMORAR;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;c/planta s/certido
SETOR N 11;PRAA DA VILA PRMORAR;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;(sem documentao)
SETOR N 11;PRDIO CENTRO COMUNITRIO;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;(sem documentao)
SETOR N 11;SECRETARIA DE AGRICULTURA(CEDIDO PELA ASSOCIAO RURAL);11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;c/planta
SETOR N 11;TERRENO  DA U.S.M.A;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;S/PLANTA C/CERTIDO N 1.515 12.293
SETOR N 11;TERRENO NA ESTRADA PASSO NOVO IBIRAPUIT;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;s/planta c/certido n 17.650
SETOR N 12;TERRENO NA VILA CENTENRIO;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;c/planta s/certido
SETOR N 12;ESCOLA RURAL ACELINO BORGES(RINCO DA CHCARA);11/11/1111;CADASTRO IMVEIS RURAIS;c/planta s/certido
SETOR N 12;PLO EDUCACIONAL HOMERO ALVES PEREIRA(MARIANO PINTO);11/11/1111;CADASTRO IMVEIS RURAIS;c/planta c/certido n 13.922
SETOR N 12;PLO EDUCACIONAL JOO CADORE(ANGICO);11/11/1111;CADASTRO IMVEIS RURAIS;c/planta c/certido n 14.628
SETOR N 13;PLO EDUCACIONAL JOO ANDR FIGUEIRA(DURASNAL);11/11/1111;CADASTRO IMVEIS RURAIS;c/planta c/certido n10.705
SETOR N 13;PLO EDUCACIONAL SILVESTRE GONALVES(RINCO DO 28);11/11/1111;CADASTRO IMVEIS RURAIS;s/planta s/certido
SETOR N 14;2.2 CENTRO CULTURAL LEI N911/69;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;c/planta s/certido lei n911/69
SETOR N 14;2.2 JARDIM DE INFANCIA MUNICIPAL;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;c/planta s/certido
SETOR N 14;2.3 RODOVIRIA MUNICIPAL;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;s/planta s/certido lei n911/69
SETOR N 14;2.4 PRAA OSWALDO ARANHA;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;(sem documentao)
SETOR N 14;AEROPORTO NOVOMATRICULA 19890;11/11/1111;CADASTRO IMVEIS RURAIS;s/planta c/certido  n19.8903.151
SETOR N 14;PLO EDUCACIONAL CONSTNTINO DE SOUZA NUNES(JACARA);11/11/1111;CADASTRO IMVEIS RURAIS;c/planta c/certido n 13.780
SETOR N 14;FRAO DE CAMPO COM 13 HECTARES(CAVER);11/11/1111;CADASTRO IMVEIS RURAIS;matr.5.297
SETOR N 14;PLO EDUCACIONAL FRANCISCO MAFALDO(CAVER);11/11/1111;CADASTRO IMVEIS RURAIS;c/planta c/certido n 13.119
SETOR N 14;PLO EDUCACIONAL MURILO NUNES OLIVEIRA(CONCEIO);11/11/1111;CADASTRO IMVEIS RURAIS;(sem documentao)
SETOR N 14;ANTIGO DEPSITO DE LIXO(ESTRADA DA ENCRUZILHADA);11/11/1111;CADASTRO IMVEIS RURAIS;s/palnta c/certido n 9.848
SETOR N 14;ESCOLA RURAL JOO OVIDIO ACOSTA(ESTRADA DA ENCRUZILHADA);11/11/1111;CADASTRO IMVEIS RURAIS;c/planta s/cetido
SETOR N 14;PLO EDUCACIONAL ALFREDO SOARES LEES(RINCO DE SO MIGUEL);11/11/1111;CADASTRO IMVEIS RURAIS;c/planta s/certido
SETOR N 17-2 SUBDISTRITO;REA DO SALZANO VEIRA(O PRDIO PERTENCE C/PLANTA PERTENCE AO ESTADO (PASSO NOVO);11/11/1111;CADASTRO IMVEIS RURAIS;c/planta c/certido n 10.706\nEscola desativada do Estado em Terras de propriedade do Municpio de Alegrete com termo de comodato para o Sr. Osrio Dias Roos.\nPERTENCE A MANOEL VIANA
SETOR N 17-2 SUBDISTRITO;ESCOLA RURAL EURICO JAQUES DORNELLES(PASSO NOVO);11/11/1111;CADASTRO IMVEIS RURAIS;c/planta s/certido
SETOR N 17-2 SUBDISTRITO;JARDI DE INFNCIA ALDA CRESPO(PASSSO NOVO);11/11/1111;CADASTRO IMVEIS RURAIS;s/planta c/certido n 20.883
SETOR N 18-3SUBDISTRITO;PLO EDUCACIONAL COSTA LEITE(JACAQU);11/11/1111;CADASTRO IMVEIS RURAIS;c/planta c/certido n 12.113
SETOR N 19- 4SUBDISTRITO;PRAA DA VILA DE PASSO NOVO;11/11/1111;CADASTRO IMVEIS RURAIS;s/planta c/certido n 3.825
SETOR N 2;Posto Mdico do Bairro Macedo;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;c/planta  c/certido s/n
SETOR N 2;PRAA DA COHAB RESTINGA;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;(sem documentao)
SETOR N 2;TERRENO NA RUA LANDEL  DE MOURA;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;s/planta c/certido n12.047
SETOR N 2;POSTO MDICO DA VILA BOA VISTA;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;c/planta s/certido
SETOR N 20- 5SUBDISTRITO;PRAA DA VILA BOA VISTA;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;c/planta s/certido
SETOR N 20- 5SUBDISTRITO;ASSENTAMENTO  VILA MARIA DO CARMO E DISTRITO INDUSTRIAL;29/07/1985;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;REA DO ASSENTAMENTO MORADORES DO REGALADO E DISTRITO INDUSTRIAL
