ÀREA DO ANTIGO AEROPORTO
EMEB EUCLIDES LISBOA-TERRENO MATRÍCULA 1806;05/05/1992;CADASTRO DE IMÓVEIS URBANOS-PATRIMÔNIO;UM TERRENO DESIGNADO PELO Nº 7  DA QUADRA D, SITUADO NOS SUBURBIOS DESTA CIDADE, NA VILA SÃO JOAQUIM, DE FORMATO IRREGULAR, COM AS SEGUINTES MEDIDAS E CONFRONTAÇÕES, 11M,30CM DE FRENTE A AOESTE, PARA A RUA "C" ,13M,5OCM A LESTE, CONFRONTANDO COM TERRENOS DA PREFEITURA MUNICIPAL, 30M AO NORTE , CONFRONTANDO COM A PROPRIEDADE DE AMÂNCIO BITENCOURT- VILA ASSUMPÇÃO- E 30M AO SUL, ONDE CONFRONTA COM O TERRENO SEIS DE PROPRIEDADE DE VITOR MARIO FLORES DA SILVA.
EMEB EUCLIDES LISBOA-TERRENO MATRÍCULA 4213;14/11/1978;CADASTRO DE IMÓVEIS URBANOS-PATRIMÔNIO;Um terreno situado nesta cidade, na Rua Alceu Wamosi, medindo dezenove metros e sessenta centímetros (19m60) na face norte, confrontando com terreno dos proprietários; vinte metros (20m) na face sul, confrontando com terreno da Prefeitura Municipal; oito metros (8m) na face oeste, confrontando com imóvel de Dorval Machado.
EMEB EUCLIDES LISBOA-TERRENO MATRÍCULA 621;27/01/1982;CADASTRO DE IMÓVEIS URBANOS-PATRIMÔNIO;Uma faixa de terreno, encravada nos fundos do prédio situado nesta cidade, à rua Pinheiro Machado, medindo dita faixa dez metros de Leste a Oeste, por sete metros e sessenta e sete  centímetros de Norte a Sul e confrontando: ao Norte, com João Batista Severo da Cruz;com Anurelino Lopes Naymaier; a Leste, com Ladislau Alves e a Oeste, com dorval Cardozo Machado,MKAtrículado no Registro de Imóveis  sob número seiscentos e vinte e um (621), Reg. 1/621
EMEB EURIPEDES BRASIL MILANO;03/12/1984;CADASTRO DE IMÓVEIS URBANOS-PATRIMÔNIO;Certidão nr 12046, referente a área da Escola, Certidão nr 775, referente a área destinada à quadra
EMEB FERNANDO FERRARI MATRÍCULA Nº 25.366;06/10/0206;CADASTRO DE IMÓVEIS URBANOS-PATRIMÔNIO;Um terreno nesta cidade, contestadas para Avenida Guabijú e Rua Ipê, Bairro Capão do Angico, matriculado sob os nºs 3.715 e 10.792, de propriedade do Município de Alegrete, situa-se do lado ímpar da numeração da Rua Ipê ; leste : Avenida Crisântemo: oeste:rua Açucena, de formato irregular, com área de 1.500,00 mq; com as seguintes medidas e confrontações: ao norte, mede vinte metros(20m00),confrontando com a Avenida Guabijú; ao sul, mede trinta metros(30m00), confrontando com a rua Ipê; a leste, mede sessenta metros(60m00),confrontando trinta metros(30m00), com o lote 20, de propriedade de Francisco Carlos Lemes Oliveira, daí seguindo no sentido oeste-leste, mede dez metros(10m00), confrontando com o lote 20, de propriedade de Francisco Carlos Lemes Oliveira, daí no sentido norte-sul, mede trinta metros(30m00), confrontando com Ercedi Pereira Ritter; e a oeste, mede sessenta metros(60m00), confrontando trinta metros(30m00), com o lote 17, de propriedade de Aurora Goulart Bagesteiroe trinta metros(30m00), com o lote 12, de propriedade de João Luiz Uzeyca.
EMEB FERNANDO FERRARI MATRICULA NR.331;24/01/2008;CADASTRO DE IMÓVEIS URBANOS-PATRIMÔNIO;Um Terreno designado pelo nr.20 da quadra "Q" da Vila Capão do Angico,situado nos subúrbios desta cidade,medindo 10m de frente,por 30m de frente a fundos,sem benfeitorias,confrontando ao norte, com Avenida "D";ao sul, com o terreno numero 9, a leste com  o terreno nr.21 e a oeste, com o terreno 19, no qual foi construído um prédio de alvenaria designado pelo nr.57, composto de 5 comodos,com área de 59,50m2, na forma da matricula nr.331 livro 2 do cartório registral de imóveis desta comarca.
EMEB. JOSÉ ANTÔNIO VILAVERDE MOURA- IMÓVEL MATRÍCULA 16.965;20/06/1990;CADASTRO DE IMÓVEIS URBANOS-PATRIMÔNIO;Terreno urbano designado pelo número treze(13) da quadra número(09) do Loteamento Residencial da Vila Piola, situado na zona urbana desta cidade, de formato irregular, com área de 1.940,92mq, com as seguintes medidas e confrontações: trinta e dois metros e trinta centímetros(32m30) a oeste, com a rua Pedro Carneiro Pereira;  vinte e nove metros e cinqüenta centímetros(29m50) ao norte, com o terreno número um(01); sete metros e setenta centímetros(7m70) a oeste, com o terreno número(01) em direção sul-norte;  vinte e nove metros e cinqüenta e cinco centímetros(29m55) ao norte, com o terreno número doze(12); trinta e oito metros s setenta centímetros(38m70) a leste, com a rua Érico Veríssimo;  cinqüenta e nove metros e dezesseis centímetros(59m16) ao sul, com os terrenos quatorze e vinte um(14 e 21), conforme Certidão Matrícula 16.965.
EMEB JOSÉ VILA VERDE MOURA-QUADRA ESPORTES MATRÍCULA 14612;11/11/1111;CADASTRO DE IMÓVEIS URBANOS-PATRIMÔNIO;UM TERRENO SITUADO NOS SUBURBIOS DESTA CIDADE, NA RUA PEDRO CARNEIRO PEREIRA, MEDINDO QUINZE METROS (15M) DE FRENTE, POR TRINTA METROS (30M) DE FRENTE A FUNDOS, CONFRONTANDO AO NORTE, COM PROPRIEDADE DA COMERCIAL BUSSE ; AO SUL COM ÁREA REMANESCENTE DO PROPRIETÁRIO ADIR DA ROSA PEREIRA; A LESTE, COM A RUA PEDRO CARNEIRO PEREIRA; E A OESTE, COM ÁREA MREMANESCENTE DO PROPRIETÁRIO ADIR DA ROSA PEREIRA; E A OESTE, COM ÁREA REMANESCENTE DO PROPRIETÁRIO ADIR DA ROSA PEREIRA.  \n--------------------MATRÍCULA 14612--------------------
EMEB LUIZA DE FREITAS VALLE ARANHA-TERRENO MATRÍCULA 4615;27/03/1979;CADASTRO DE IMÓVEIS URBANOS-PATRIMÔNIO;MATRÍCULA 4615 . OS TERRENOS DESIGNADOS PELOS NÚMEROS TRÊS A DEZ (3 A 10) DA QUADRA DEZOITO (18), DA VILA SANTOS DUMONT, SITUADA NOS SUBURBIOS DESTA CIDADE, E MEDINDO EM CONJUNTO TRINTA E TRÊS METROS (33M) DE FRENTE AO NORTE, PARA A RUA GOIAS; TRINTA E TRÊS METROS (33M)  AO SUL, PARA A AVENIDA RIO DE JANEIRO; SESSENTA E SEIS METROS (66M) NA FACE OESTE, CONFRONTANDO COM OS TERRENOS DOIS E ONZE (2 E 11).
EMEB MANOEL ESTIVALET-TERRENO MATRÍCULA 16712;26/04/1990;CADASTRO DE IMÓVEIS URBANOS-PATRIMÔNIO;TERRENO MATRÍCULA 16712.  IMÓVEL- O TERRENO DESIGNADO PELO NÚMERO UM (01) DA QUADRA Nº UM (01), NO BAIIRO BOA VISTA, SITUADO NOS SUBÚRBIOS DESTA CIDADE , DE FORMATO IRREGULAR, COM AS SEGUINTES MEDIDAS E CONFRONTAÇÕES: QUINZE (15M) DE FUNDO, AO NORTE , COM O TERRENO NÚMERO DOIS (02); QUINZE METROS (15M) AO SUL, PARA O PROLONGAMENTO DA RUA DALTRO FILHO; TRINTA E QUATRO METROS (34M) A OESTE, COM A RUA PANDIA CALÓGERAS; E, VINTE E NOVE METROS E CINCOENTA CENTIMETROS (29,5M) A LESTE, COM O TERRENO NÚMERO TRÊS (03).
